station,datetime,obs_type,obs_value,TMAX_F,datetime_dt,year
SZ000006717,18640308,TMAX,-4.0,24.8,1864-03-08,1864
SZ000006717,18640321,TMAX,-4.0,24.8,1864-03-21,1864
SZ000006717,18641230,TMAX,-4.0,24.8,1864-12-30,1864
GME00125218,18641222,TMAX,-3.9,24.98,1864-12-22,1864
AU000005901,18641227,TMAX,-3.9,24.98,1864-12-27,1864
SZ000006717,18640224,TMAX,-3.9,24.98,1864-02-24,1864
UK000056225,18640105,TMAX,-3.8,25.16,1864-01-05,1864
SZ000006717,18641207,TMAX,-3.8,25.16,1864-12-07,1864
AU000005901,18641205,TMAX,-3.8,25.16,1864-12-05,1864
SZ000006717,18640313,TMAX,-3.8,25.16,1864-03-13,1864
GME00125218,18641214,TMAX,-3.8,25.16,1864-12-14,1864
GME00125218,18640220,TMAX,-3.8,25.16,1864-02-20,1864
AU000005901,18641207,TMAX,-3.8,25.16,1864-12-07,1864
SZ000006717,18640112,TMAX,-3.8,25.16,1864-01-12,1864
SZ000006717,18641123,TMAX,-3.7,25.34,1864-11-23,1864
SZ000006717,18641206,TMAX,-3.7,25.34,1864-12-06,1864
SZ000006717,18640305,TMAX,-3.7,25.34,1864-03-05,1864
SZ000006717,18641122,TMAX,-3.6,25.52,1864-11-22,1864
BE000006447,18640103,TMAX,-3.6,25.52,1864-01-03,1864
SZ000006717,18641110,TMAX,-3.6,25.52,1864-11-10,1864
GM000004204,18641215,TMAX,-3.5,25.7,1864-12-15,1864
GME00125218,18640208,TMAX,-3.5,25.7,1864-02-08,1864
GME00125218,18641218,TMAX,-3.5,25.7,1864-12-18,1864
SZ000006717,18641128,TMAX,-3.5,25.7,1864-11-28,1864
GM000004204,18640108,TMAX,-3.5,25.7,1864-01-08,1864
GME00125218,18641219,TMAX,-3.5,25.7,1864-12-19,1864
GME00125218,18640219,TMAX,-3.4,25.88,1864-02-19,1864
AU000005901,18640122,TMAX,-3.4,25.88,1864-01-22,1864
GM000004204,18641231,TMAX,-3.4,25.88,1864-12-31,1864
EZE00100082,18640219,TMAX,-3.4,25.88,1864-02-19,1864
SZ000006717,18640120,TMAX,-3.3,26.060000000000002,1864-01-20,1864
GM000004204,18641230,TMAX,-3.3,26.060000000000002,1864-12-30,1864
CA006158350,18641229,TMAX,-3.3,26.060000000000002,1864-12-29,1864
SZ000006717,18641204,TMAX,-3.3,26.060000000000002,1864-12-04,1864
SZ000006717,18641201,TMAX,-3.3,26.060000000000002,1864-12-01,1864
CA006158350,18641215,TMAX,-3.3,26.060000000000002,1864-12-15,1864
EZE00100082,18641206,TMAX,-3.2,26.24,1864-12-06,1864
BE000006447,18640105,TMAX,-3.1,26.42,1864-01-05,1864
AU000005901,18640211,TMAX,-3.1,26.42,1864-02-11,1864
ITE00100554,18640116,TMAX,-3.1,26.42,1864-01-16,1864
ITE00100550,18640115,TMAX,-3.1,26.42,1864-01-15,1864
SZ000006717,18640131,TMAX,-3.0,26.6,1864-01-31,1864
GME00125218,18641231,TMAX,-3.0,26.6,1864-12-31,1864
SZ000006717,18640124,TMAX,-3.0,26.6,1864-01-24,1864
AU000005901,18640131,TMAX,-3.0,26.6,1864-01-31,1864
GM000004204,18640119,TMAX,-3.0,26.6,1864-01-19,1864
GME00125218,18640212,TMAX,-3.0,26.6,1864-02-12,1864
SZ000006717,18641014,TMAX,-3.0,26.6,1864-10-14,1864
EZE00100082,18641228,TMAX,-3.0,26.6,1864-12-28,1864
SZ000006717,18640309,TMAX,-3.0,26.6,1864-03-09,1864
EZE00100082,18640209,TMAX,-3.0,26.6,1864-02-09,1864
SZ000006717,18640125,TMAX,-3.0,26.6,1864-01-25,1864
EZE00100082,18640210,TMAX,-3.0,26.6,1864-02-10,1864
GM000004204,18641214,TMAX,-2.9,26.78,1864-12-14,1864
SZ000006717,18640410,TMAX,-2.9,26.78,1864-04-10,1864
GM000004204,18641219,TMAX,-2.9,26.78,1864-12-19,1864
ITE00100554,18640112,TMAX,-2.9,26.78,1864-01-12,1864
CA006158350,18641209,TMAX,-2.8,26.96,1864-12-09,1864
CA006158350,18641220,TMAX,-2.8,26.96,1864-12-20,1864
AU000005901,18641231,TMAX,-2.8,26.96,1864-12-31,1864
SZ000006717,18640229,TMAX,-2.8,26.96,1864-02-29,1864
ITE00100550,18640103,TMAX,-2.8,26.96,1864-01-03,1864
CA006158350,18640315,TMAX,-2.8,26.96,1864-03-15,1864
SZ000006717,18640320,TMAX,-2.8,26.96,1864-03-20,1864
GM000004204,18640219,TMAX,-2.8,26.96,1864-02-19,1864
CA006158350,18640120,TMAX,-2.8,26.96,1864-01-20,1864
SZ000006717,18640122,TMAX,-2.7,27.14,1864-01-22,1864
BE000006447,18640107,TMAX,-2.7,27.14,1864-01-07,1864
SZ000006717,18640430,TMAX,-2.6,27.32,1864-04-30,1864
SZ000006717,18640128,TMAX,-2.6,27.32,1864-01-28,1864
ITE00100554,18640119,TMAX,-2.5,27.5,1864-01-19,1864
ITE00100550,18640116,TMAX,-2.5,27.5,1864-01-16,1864
BE000006447,18640102,TMAX,-2.5,27.5,1864-01-02,1864
AU000005901,18641216,TMAX,-2.5,27.5,1864-12-16,1864
ITE00100550,18640112,TMAX,-2.5,27.5,1864-01-12,1864
EZE00100082,18640220,TMAX,-2.5,27.5,1864-02-20,1864
BE000006447,18640101,TMAX,-2.3,27.86,1864-01-01,1864
GME00125218,18640209,TMAX,-2.3,27.86,1864-02-09,1864
EZE00100082,18641204,TMAX,-2.3,27.86,1864-12-04,1864
GME00125218,18640210,TMAX,-2.3,27.86,1864-02-10,1864
GM000004204,18640208,TMAX,-2.3,27.86,1864-02-08,1864
GM000004204,18640220,TMAX,-2.3,27.86,1864-02-20,1864
CA006158350,18641221,TMAX,-2.2,28.04,1864-12-21,1864
BE000006447,18640106,TMAX,-2.2,28.04,1864-01-06,1864
SZ000006717,18640310,TMAX,-2.2,28.04,1864-03-10,1864
CA006158350,18640229,TMAX,-2.2,28.04,1864-02-29,1864
CA006158350,18640301,TMAX,-2.2,28.04,1864-03-01,1864
SZ000006717,18640429,TMAX,-2.2,28.04,1864-04-29,1864
SZ000006717,18640628,TMAX,-2.1,28.22,1864-06-28,1864
GM000004204,18641222,TMAX,-2.1,28.22,1864-12-22,1864
BE000006447,18641230,TMAX,-2.1,28.22,1864-12-30,1864
EZE00100082,18641208,TMAX,-2.1,28.22,1864-12-08,1864
AU000005901,18640201,TMAX,-2.1,28.22,1864-02-01,1864
GM000004204,18640209,TMAX,-2.1,28.22,1864-02-09,1864
ITE00100554,18640120,TMAX,-2.1,28.22,1864-01-20,1864
EZE00100082,18641222,TMAX,-2.1,28.22,1864-12-22,1864
UK000056225,18640106,TMAX,-2.0,28.4,1864-01-06,1864
SZ000006717,18640312,TMAX,-2.0,28.4,1864-03-12,1864
AU000005901,18641222,TMAX,-2.0,28.4,1864-12-22,1864
SZ000006717,18640326,TMAX,-1.9,28.58,1864-03-26,1864
SZ000006717,18641006,TMAX,-1.9,28.58,1864-10-06,1864
GME00125218,18640207,TMAX,-1.9,28.58,1864-02-07,1864
SZ000006717,18640324,TMAX,-1.9,28.58,1864-03-24,1864
EZE00100082,18640201,TMAX,-1.9,28.58,1864-02-01,1864
EZE00100082,18640121,TMAX,-1.9,28.58,1864-01-21,1864
ITE00100550,18640105,TMAX,-1.9,28.58,1864-01-05,1864
EZE00100082,18641207,TMAX,-1.9,28.58,1864-12-07,1864
ITE00100554,18640115,TMAX,-1.9,28.58,1864-01-15,1864
SZ000006717,18640113,TMAX,-1.9,28.58,1864-01-13,1864
AU000005901,18641228,TMAX,-1.9,28.58,1864-12-28,1864
SZ000006717,18641019,TMAX,-1.8,28.759999999999998,1864-10-19,1864
GM000004204,18641218,TMAX,-1.8,28.759999999999998,1864-12-18,1864
UK000056225,18640103,TMAX,-1.8,28.759999999999998,1864-01-03,1864
SZ000006717,18640126,TMAX,-1.8,28.759999999999998,1864-01-26,1864
AU000005901,18641208,TMAX,-1.8,28.759999999999998,1864-12-08,1864
GME00125218,18641221,TMAX,-1.8,28.759999999999998,1864-12-21,1864
ITE00100550,18640211,TMAX,-1.8,28.759999999999998,1864-02-11,1864
CA006158350,18640119,TMAX,-1.7,28.94,1864-01-19,1864
SZ000006717,18641116,TMAX,-1.7,28.94,1864-11-16,1864
BE000006447,18640207,TMAX,-1.7,28.94,1864-02-07,1864
EZE00100082,18641219,TMAX,-1.7,28.94,1864-12-19,1864
CA006158350,18641213,TMAX,-1.7,28.94,1864-12-13,1864
CA006158350,18640208,TMAX,-1.7,28.94,1864-02-08,1864
SZ000006717,18641119,TMAX,-1.7,28.94,1864-11-19,1864
SZ000006717,18640610,TMAX,-1.7,28.94,1864-06-10,1864
ITE00100550,18640119,TMAX,-1.6,29.12,1864-01-19,1864
GM000004204,18641213,TMAX,-1.6,29.12,1864-12-13,1864
SZ000006717,18640825,TMAX,-1.6,29.12,1864-08-25,1864
GME00125218,18640130,TMAX,-1.6,29.12,1864-01-30,1864
BE000006447,18641231,TMAX,-1.6,29.12,1864-12-31,1864
GM000004204,18640212,TMAX,-1.6,29.12,1864-02-12,1864
EZE00100082,18641205,TMAX,-1.6,29.12,1864-12-05,1864
SZ000006717,18641109,TMAX,-1.6,29.12,1864-11-09,1864
BE000006447,18640219,TMAX,-1.6,29.12,1864-02-19,1864
AU000005901,18640220,TMAX,-1.6,29.12,1864-02-20,1864
GM000004204,18640221,TMAX,-1.6,29.12,1864-02-21,1864
GME00125218,18641230,TMAX,-1.6,29.12,1864-12-30,1864
UK000056225,18640104,TMAX,-1.6,29.12,1864-01-04,1864
AU000005901,18640202,TMAX,-1.5,29.3,1864-02-02,1864
ITE00100550,18640111,TMAX,-1.5,29.3,1864-01-11,1864
GME00125218,18641107,TMAX,-1.5,29.3,1864-11-07,1864
AU000005901,18640219,TMAX,-1.5,29.3,1864-02-19,1864
AU000005901,18640209,TMAX,-1.4,29.48,1864-02-09,1864
SZ000006717,18641004,TMAX,-1.4,29.48,1864-10-04,1864
SZ000006717,18640411,TMAX,-1.4,29.48,1864-04-11,1864
